,Date,Open,High,Low,Close,Predicted_results_5,Predicted_results_20,Predicted_results_60,Predicted_results_120,action_5,action_20,action_60,action_120
116,2021-06-21,14047.419922,14150.780273,13960.040039,14141.480469,0,1,1,1,No action,Holding,Holding,Holding
117,2021-06-22,14138.290039,14269.769531,14121.0,14253.269531,0,1,1,1,No action,Holding,Holding,Holding
118,2021-06-23,14263.379883,14317.660156,14246.299805,14271.730469,0,1,1,1,No action,Holding,Holding,Holding
119,2021-06-24,14357.269531,14414.459961,14333.700195,14369.709961,0,0,1,1,No action,Holding,Holding,Holding
120,2021-06-25,14400.80957,14409.080078,14337.650391,14360.389648,0,0,0,1,No action,sell,Holding,Holding
121,2021-06-28,14417.80957,14505.19043,14417.200195,14500.509766,0,0,0,1,No action,No action,sell,Holding
122,2021-06-29,14509.19043,14535.969727,14471.379883,14528.330078,0,0,0,1,No action,No action,No action,Holding
123,2021-06-30,14509.849609,14526.80957,14478.05957,14503.950195,0,0,0,1,No action,No action,No action,Holding
124,2021-07-01,14493.69043,14533.549805,14439.400391,14522.379883,0,0,0,1,No action,No action,No action,Holding
125,2021-07-02,14582.980469,14649.110352,14555.339844,14639.330078,0,0,0,1,No action,No action,No action,Holding
126,2021-07-06,14661.549805,14687.0,14529.799805,14663.639648,0,0,0,1,No action,No action,No action,Holding
127,2021-07-07,14753.410156,14755.330078,14580.790039,14665.05957,0,0,0,1,No action,No action,No action,Holding
128,2021-07-08,14409.200195,14610.05957,14371.589844,14559.780273,0,0,0,1,No action,No action,No action,Holding
129,2021-07-09,14578.429688,14710.200195,14552.259766,14701.919922,0,0,0,1,No action,No action,No action,Holding
130,2021-07-12,14743.860352,14761.080078,14672.629883,14733.240234,0,0,0,1,No action,No action,No action,Holding
131,2021-07-13,14715.129883,14803.679688,14660.19043,14677.650391,0,0,0,1,No action,No action,No action,Holding
132,2021-07-14,14780.900391,14790.549805,14632.950195,14644.950195,0,0,1,1,No action,No action,Buy,Holding
133,2021-07-15,14635.780273,14650.370117,14451.799805,14543.129883,0,0,1,1,No action,No action,Holding,Holding
134,2021-07-16,14597.509766,14623.019531,14413.320313,14427.240234,0,0,0,1,No action,No action,Holding,Holding
135,2021-07-19,14235.980469,14313.599609,14178.660156,14274.980469,0,0,0,1,No action,No action,sell,Holding
136,2021-07-20,14330.459961,14555.75,14271.230469,14498.879883,0,0,0,1,No action,No action,No action,Holding
137,2021-07-21,14508.75,14633.139648,14498.650391,14631.950195,0,0,0,1,No action,No action,No action,Holding
138,2021-07-22,14652.719727,14694.19043,14617.870117,14684.599609,1,0,1,1,Buy,No action,Buy,Holding
139,2021-07-23,14753.05957,14846.05957,14698.769531,14836.990234,1,0,1,1,Holding,No action,Holding,Holding
140,2021-07-26,14821.030273,14863.650391,14790.490234,14840.709961,1,0,1,1,Holding,No action,Holding,Holding
141,2021-07-27,14807.950195,14811.080078,14503.759766,14660.580078,1,0,1,1,Holding,No action,Holding,Holding
142,2021-07-28,14715.660156,14798.879883,14645.629883,14762.580078,0,0,1,1,Holding,No action,Holding,Holding
143,2021-07-29,14771.169922,14833.740234,14761.379883,14778.259766,0,0,1,1,sell,No action,Holding,Holding
144,2021-07-30,14615.849609,14728.780273,14615.849609,14672.679688,0,0,1,1,No action,No action,Holding,Holding
145,2021-08-02,14758.599609,14770.410156,14665.669922,14681.070313,0,0,0,1,No action,No action,Holding,Holding
146,2021-08-03,14713.990234,14762.599609,14584.089844,14761.290039,0,0,0,1,No action,No action,sell,Holding
147,2021-08-04,14747.209961,14812.370117,14734.120117,14780.530273,0,0,0,1,No action,No action,No action,Holding
148,2021-08-05,14794.080078,14896.469727,14776.030273,14895.120117,0,0,0,1,No action,No action,No action,Holding
149,2021-08-06,14864.219727,14890.179688,14788.589844,14835.759766,0,0,0,1,No action,No action,No action,Holding
150,2021-08-09,14855.759766,14883.80957,14802.69043,14860.179688,0,0,0,1,No action,No action,No action,Holding
151,2021-08-10,14887.75,14894.610352,14754.480469,14788.089844,0,0,0,1,No action,No action,No action,Holding
152,2021-08-11,14834.379883,14842.5,14692.410156,14765.139648,0,0,0,1,No action,No action,No action,Holding
153,2021-08-12,14751.360352,14824.30957,14698.94043,14816.259766,0,0,0,1,No action,No action,No action,Holding
154,2021-08-13,14825.070313,14850.610352,14797.219727,14822.900391,0,0,0,1,No action,No action,No action,Holding
155,2021-08-16,14771.530273,14794.679688,14610.019531,14793.759766,0,0,0,1,No action,No action,No action,Holding
156,2021-08-17,14670.55957,14716.950195,14550.879883,14656.179688,0,0,0,1,No action,No action,No action,Holding
157,2021-08-18,14636.240234,14697.25,14516.299805,14525.910156,0,0,0,1,No action,No action,No action,Holding
158,2021-08-19,14423.160156,14610.759766,14423.160156,14541.790039,0,0,0,1,No action,No action,No action,Holding
159,2021-08-20,14571.530273,14722.160156,14571.530273,14714.660156,0,0,0,1,No action,No action,No action,Holding
160,2021-08-23,14776.980469,14963.469727,14776.980469,14942.650391,0,0,0,1,No action,No action,No action,Holding
161,2021-08-24,14978.139648,15034.889648,14965.540039,15019.799805,1,0,0,1,Buy,No action,No action,Holding
162,2021-08-25,15039.030273,15059.429688,15011.580078,15041.860352,1,0,0,1,Holding,No action,No action,Holding
163,2021-08-26,15025.169922,15059.629883,14939.55957,14945.80957,0,0,0,1,Holding,No action,No action,Holding
