,Date,Open,High,Low,Close,Predicted_results_20,action_20,Sell_Signal_Profit,Sell_Signal_Return,Cumulative_Profit
182,2022-10-04,2189.51001,2212.379883,2180.840088,2209.379883,1,Holding,0.0,0.0,-644.7802739999997
183,2022-10-05,2248.850098,2253.929932,2204.030029,2215.219971,0,Holding,0.0,0.0,-644.7802739999997
184,2022-10-06,2230.429932,2250.870117,2223.360107,2237.860107,0,sell,-3.0998530000001665,-0.13957392285918488,-647.8801269999999
185,2022-10-07,2217.840088,2245.879883,2215.080078,2232.840088,0,No action,0.0,0.0,-647.8801269999999
186,2022-10-11,2193.02002,2193.050049,2174.060059,2192.070068,1,Buy,0.0,0.0,-647.8801269999999
187,2022-10-12,2191.350098,2205.02002,2181.649902,2202.469971,1,Holding,0.0,0.0,-647.8801269999999
188,2022-10-13,2198.290039,2198.340088,2162.870117,2162.870117,1,Holding,0.0,0.0,-647.8801269999999
189,2022-10-14,2200.659912,2220.540039,2193.629883,2212.550049,0,Holding,0.0,0.0,-647.8801269999999
190,2022-10-17,2187.169922,2221.050049,2177.659912,2219.709961,1,Holding,0.0,0.0,-647.8801269999999
191,2022-10-18,2249.149902,2251.73999,2220.709961,2249.949951,1,Holding,0.0,0.0,-647.8801269999999
192,2022-10-19,2249.350098,2266.800049,2234.590088,2237.439941,0,Holding,0.0,0.0,-647.8801269999999
193,2022-10-20,2225.530029,2231.52002,2200.439941,2218.090088,0,sell,18.52001999999993,0.8448644169890619,-629.360107
194,2022-10-21,2210.590088,2224.040039,2204.639893,2213.120117,1,Buy,0.0,0.0,-629.360107
195,2022-10-24,2248.26001,2256.669922,2229.850098,2236.159912,1,Holding,0.0,0.0,-629.360107
196,2022-10-25,2237.040039,2253.23999,2230.75,2235.070068,0,Holding,0.0,0.0,-629.360107
197,2022-10-26,2240.699951,2258.110107,2234.48999,2249.560059,1,Holding,0.0,0.0,-629.360107
198,2022-10-27,2266.070068,2290.560059,2262.02002,2288.780029,0,Holding,0.0,0.0,-629.360107
199,2022-10-28,2276.72998,2292.649902,2266.439941,2268.399902,1,Holding,0.0,0.0,-629.360107
200,2022-10-31,2293.75,2295.51001,2273.72998,2293.610107,1,Holding,0.0,0.0,-629.360107
201,2022-11-01,2301.580078,2335.570068,2297.570068,2335.219971,1,Holding,0.0,0.0,-629.360107
202,2022-11-02,2326.050049,2346.320068,2323.370117,2336.870117,1,Holding,0.0,0.0,-629.360107
203,2022-11-03,2297.449951,2342.860107,2296.439941,2329.169922,0,Holding,0.0,0.0,-629.360107
204,2022-11-04,2325.850098,2348.429932,2316.290039,2348.429932,1,Holding,0.0,0.0,-629.360107
205,2022-11-07,2360.219971,2373.280029,2354.219971,2371.790039,0,Holding,0.0,0.0,-629.360107
206,2022-11-08,2387.199951,2400.389893,2375.669922,2399.040039,1,Holding,0.0,0.0,-629.360107
207,2022-11-09,2408.540039,2429.649902,2403.639893,2424.409912,1,Holding,0.0,0.0,-629.360107
208,2022-11-10,2405.77002,2426.100098,2401.98999,2402.22998,0,Holding,0.0,0.0,-629.360107
209,2022-11-11,2466.899902,2486.459961,2463.51001,2483.159912,1,Holding,0.0,0.0,-629.360107
210,2022-11-14,2485.179932,2499.429932,2470.600098,2474.649902,1,Holding,0.0,0.0,-629.360107
211,2022-11-15,2482.76001,2485.199951,2463.649902,2480.330078,0,Holding,0.0,0.0,-629.360107
212,2022-11-16,2487.0,2487.0,2446.790039,2477.449951,0,sell,253.37988300000006,11.448989191940912,-375.9802239999999
213,2022-11-17,2466.5,2467.389893,2442.899902,2442.899902,1,Buy,0.0,0.0,-375.9802239999999
214,2022-11-18,2448.129883,2471.870117,2442.870117,2444.47998,1,Holding,0.0,0.0,-375.9802239999999
215,2022-11-21,2446.050049,2448.139893,2409.360107,2419.5,1,Holding,0.0,0.0,-375.9802239999999
216,2022-11-22,2405.959961,2426.399902,2401.5,2405.27002,1,Holding,0.0,0.0,-375.9802239999999
217,2022-11-23,2424.360107,2427.280029,2407.580078,2418.01001,1,Holding,0.0,0.0,-375.9802239999999
218,2022-11-24,2437.51001,2441.330078,2428.120117,2441.330078,0,Holding,0.0,0.0,-375.9802239999999
219,2022-11-25,2442.209961,2449.659912,2433.570068,2437.860107,1,Holding,0.0,0.0,-375.9802239999999
220,2022-11-28,2425.050049,2425.649902,2401.949951,2408.27002,1,Holding,0.0,0.0,-375.9802239999999
221,2022-11-29,2405.540039,2433.870117,2401.100098,2433.389893,0,Holding,0.0,0.0,-375.9802239999999
222,2022-11-30,2424.439941,2472.530029,2421.419922,2472.530029,1,Holding,0.0,0.0,-375.9802239999999
223,2022-12-01,2501.429932,2501.429932,2474.330078,2479.840088,1,Holding,0.0,0.0,-375.9802239999999
224,2022-12-02,2471.5,2471.5,2434.330078,2434.330078,0,Holding,0.0,0.0,-375.9802239999999
225,2022-12-05,2442.169922,2442.219971,2413.050049,2419.320068,1,Holding,0.0,0.0,-375.9802239999999
226,2022-12-06,2397.699951,2416.879883,2390.199951,2393.159912,0,Holding,0.0,0.0,-375.9802239999999
227,2022-12-07,2385.870117,2394.879883,2377.97998,2382.810059,0,sell,-56.0,-2.29235753598225,-431.9802239999999
228,2022-12-08,2386.899902,2387.949951,2357.199951,2371.080078,0,No action,0.0,0.0,-431.9802239999999
229,2022-12-09,2382.72998,2390.080078,2367.25,2389.040039,1,Buy,0.0,0.0,-431.9802239999999
230,2022-12-12,2373.580078,2381.870117,2368.469971,2373.02002,0,Holding,0.0,0.0,-431.9802239999999
231,2022-12-13,2385.050049,2388.27002,2364.870117,2372.399902,0,sell,-8.229980000000069,-0.3444889941419717,-440.210204
232,2022-12-14,2380.810059,2400.179932,2379.439941,2399.25,1,Buy,0.0,0.0,-440.210204
233,2022-12-15,2383.830078,2392.110107,2360.949951,2360.969971,1,Holding,0.0,0.0,-440.210204
234,2022-12-16,2329.75,2360.439941,2326.830078,2360.02002,0,Holding,0.0,0.0,-440.210204
235,2022-12-19,2350.780029,2358.76001,2342.280029,2352.169922,0,sell,-54.52001999999993,-2.2723776180056237,-494.7302239999999
236,2022-12-20,2344.72998,2353.860107,2324.659912,2333.290039,0,No action,0.0,0.0,-494.7302239999999
237,2022-12-21,2346.389893,2347.0,2325.780029,2328.949951,0,No action,0.0,0.0,-494.7302239999999
238,2022-12-22,2340.0,2356.72998,2335.75,2356.72998,1,Buy,0.0,0.0,-494.7302239999999
239,2022-12-23,2325.860107,2333.080078,2311.899902,2313.689941,1,Holding,0.0,0.0,-494.7302239999999
240,2022-12-26,2312.540039,2321.919922,2304.199951,2317.139893,1,Holding,0.0,0.0,-494.7302239999999
241,2022-12-27,2327.52002,2335.98999,2321.47998,2332.790039,1,Holding,0.0,0.0,-494.7302239999999
242,2022-12-28,2296.449951,2296.449951,2276.899902,2280.449951,1,Holding,0.0,0.0,-494.7302239999999
243,2022-12-29,2265.72998,2272.669922,2236.379883,2236.399902,1,sell,-120.33007799999996,-5.10580673310737,-615.0603019999999
